PERMNO,date,TICKER,COMNAM,SHRCLS,TSYMBOL,DIVAMT,BIDLO,ASKHI,PRC,VOL,BID,ASK,OPENPRC,RETX,vwretd,vwretx,ewretd,ewretx,sprtrn
10107,01/04/2016,MSFT,MICROSOFT CORP,,MSFT,,53.39,54.8,54.8,53777963,54.78,54.79,54.32,-0.012257,-0.0149,-0.015063,-0.012341,-0.012426,-0.015304
10107,01/05/2016,MSFT,MICROSOFT CORP,,MSFT,,54.54,55.39,55.05,34079890,55.05,55.06,54.93,0.004562,0.001397,0.001394,0.000352,0.000328,0.002012
10107,01/06/2016,MSFT,MICROSOFT CORP,,MSFT,,53.64,54.4001,54.05,39531720,54.06,54.08,54.32,-0.018165,-0.013822,-0.014091,-0.013465,-0.013516,-0.013115
10107,01/07/2016,MSFT,MICROSOFT CORP,,MSFT,,52.07,53.485,52.17,56560000,52.17,52.19,52.7,-0.034783,-0.02396,-0.023984,-0.024823,-0.024842,-0.0237
10107,01/08/2016,MSFT,MICROSOFT CORP,,MSFT,,52.15,53.28,52.33,48753969,52.33,52.35,52.37,0.003067,-0.010925,-0.01093,-0.010285,-0.010307,-0.010838
10107,01/11/2016,MSFT,MICROSOFT CORP,,MSFT,,51.46,52.85,52.3,36943756,52.29,52.3,52.51,-0.000573,-0.001716,-0.001716,-0.01147,-0.011472,0.000853
10107,01/12/2016,MSFT,MICROSOFT CORP,,MSFT,,52.06,53.1,52.78,36095539,52.77,52.78,52.76,0.009178,0.006078,0.006055,-0.002805,-0.002864,0.007803
10107,01/13/2016,MSFT,MICROSOFT CORP,,MSFT,,51.3038,54.07,51.64,66883571,51.64,51.66,53.8,-0.021599,-0.025859,-0.025972,-0.02534,-0.025579,-0.024965
10107,01/14/2016,MSFT,MICROSOFT CORP,,MSFT,,51.57,53.4163,53.11,52381918,53.05,53.06,52,0.028466,0.015461,0.015431,0.011806,0.011739,0.016696
10107,01/15/2016,MSFT,MICROSOFT CORP,,MSFT,,50.34,51.97,50.99,71820917,50.97,50.98,51.31,-0.039917,-0.021697,-0.021733,-0.02102,-0.021054,-0.021599
10107,01/19/2016,MSFT,MICROSOFT CORP,,MSFT,,50.06,51.68,50.56,43564538,50.55,50.56,51.48,-0.008433,-0.002418,-0.002425,-0.011552,-0.011697,0.000532
10107,01/20/2016,MSFT,MICROSOFT CORP,,MSFT,,49.1,51.38,50.79,63282012,50.78,50.79,49.98,0.004549,-0.010609,-0.010729,-0.00602,-0.006131,-0.011694
10107,01/21/2016,MSFT,MICROSOFT CORP,,MSFT,,50.3,51.58,50.48,40191157,50.45,50.46,51,-0.006104,0.005685,0.005661,0.009719,0.0097,0.005195
10107,01/22/2016,MSFT,MICROSOFT CORP,,MSFT,,51.26,52.33,52.29,37620896,52.28,52.29,51.41,0.035856,0.022497,0.022463,0.024274,0.024261,0.020284
10107,01/25/2016,MSFT,MICROSOFT CORP,,MSFT,,51.65,52.65,51.79,34707717,51.76,51.79,51.94,-0.009562,-0.016696,-0.016775,-0.015867,-0.015945,-0.015638
10107,01/26/2016,MSFT,MICROSOFT CORP,,MSFT,,51.55,52.44,52.17,28900867,52.18,52.19,51.79,0.007337,0.015938,0.015936,0.016784,0.016777,0.014144
10107,01/27/2016,MSFT,MICROSOFT CORP,,MSFT,,51.0201,52.2,51.22,36775194,51.21,51.23,52.01,-0.01821,-0.010554,-0.010706,-0.007902,-0.008017,-0.010863
10107,01/28/2016,MSFT,MICROSOFT CORP,,MSFT,,51.25,52.21,52.055,62515470,52.05,52.06,51.86,0.016302,0.00508,0.004972,0.003101,0.003016,0.005529
