PERMNO,date,TICKER,COMNAM,vwretd,ewretd
16109,10/1/28,,POSTUM INC,-0.000987,0.00134
16109,10/2/28,,POSTUM INC,-0.004182,-0.004331
16109,10/3/28,,POSTUM INC,-0.002533,-0.001271
16109,10/4/28,,POSTUM INC,0.002753,0.004674
16109,10/5/28,,POSTUM INC,-0.002406,-0.001183
16109,10/6/28,,POSTUM INC,-0.000284,0.000471
16109,10/8/28,,POSTUM INC,-0.003331,-0.003709
16109,10/9/28,,POSTUM INC,0.001346,-0.000175
16109,10/10/28,,POSTUM INC,0.00946,0.009979
16109,10/11/28,,POSTUM INC,0.003179,0.002943
16109,10/13/28,,POSTUM INC,0.005708,0.006504
16109,10/15/28,,POSTUM INC,0.003912,0.00364
16109,10/16/28,,POSTUM INC,0.003205,0.002885
16109,10/17/28,,POSTUM INC,0.003827,0.005268
16109,10/18/28,,POSTUM INC,0.003039,0.000876
16109,10/19/28,,POSTUM INC,0.005258,0.003256
16109,10/20/28,,POSTUM INC,-0.004473,-0.002646
16109,10/22/28,,POSTUM INC,-0.001018,0.00041
16109,10/23/28,,POSTUM INC,0.006643,0.005377
16109,10/24/28,,POSTUM INC,0.002229,0.003648
16109,10/25/28,,POSTUM INC,-0.002593,-0.000607
16109,10/26/28,,POSTUM INC,-0.011296,-0.012044
16109,10/27/28,,POSTUM INC,0.008681,0.007319
16109,10/29/28,,POSTUM INC,0.007181,0.008687
16109,10/30/28,,POSTUM INC,-0.010111,-0.011339
16109,10/31/28,,POSTUM INC,-0.004229,-0.00671
16109,11/1/28,,POSTUM INC,0.012843,0.010264
16109,11/2/28,,POSTUM INC,-0.001061,-0.000693
16109,11/3/28,,POSTUM INC,0.000509,-0.000004
16109,11/5/28,,POSTUM INC,0.011436,0.011061
16109,11/7/28,,POSTUM INC,0.011941,0.011481
16109,11/8/28,,POSTUM INC,-0.002479,-0.001326
16109,11/9/28,,POSTUM INC,0.007456,0.005686
16109,11/10/28,,POSTUM INC,0.008294,0.008877
16109,11/12/28,,POSTUM INC,0.003801,0.00167
16109,11/13/28,,POSTUM INC,0.000704,-0.001432
16109,11/14/28,,POSTUM INC,0.001214,0.002038
16109,11/15/28,,POSTUM INC,0.00351,0.001927
16109,11/16/28,,POSTUM INC,0.017687,0.014005
16109,11/17/28,,POSTUM INC,0.001018,-0.000151
16109,11/19/28,,POSTUM INC,0.00195,0.00417
16109,11/20/28,,POSTUM INC,0.011386,0.008689
16109,11/21/28,,POSTUM INC,-0.014958,-0.010614
16109,11/22/28,,POSTUM INC,0.01406,0.01499
16109,11/23/28,,POSTUM INC,0.003474,0.005486
16109,11/26/28,,POSTUM INC,0.005241,0.009767
16109,11/27/28,,POSTUM INC,0.003063,0.005254
16109,11/28/28,,POSTUM INC,0.010817,0.010221
16109,11/30/28,,POSTUM INC,0.00353,0.000656
16109,12/1/28,,POSTUM INC,-0.005813,-0.001872
16109,12/3/28,,POSTUM INC,-0.007217,-0.006236
16109,12/4/28,,POSTUM INC,0.00212,0.002342
16109,12/5/28,,POSTUM INC,-0.006547,-0.002952
16109,12/6/28,,POSTUM INC,-0.035292,-0.032999
16109,12/7/28,,POSTUM INC,-0.023348,-0.022167
16109,12/8/28,,POSTUM INC,-0.018891,-0.023906
16109,12/10/28,,POSTUM INC,0.016627,0.009014
16109,12/11/28,,POSTUM INC,0.022833,0.028237
16109,12/12/28,,POSTUM INC,-0.007558,-0.003834
16109,12/13/28,,POSTUM INC,-0.002961,-0.000936
16109,12/14/28,,POSTUM INC,0.002868,0.002051
16109,12/15/28,,POSTUM INC,-0.003655,-0.001775
16109,12/17/28,,POSTUM INC,-0.003704,-0.007934
16109,12/18/28,,POSTUM INC,0.010825,0.007866
16109,12/19/28,,POSTUM INC,0.012059,0.011768
16109,12/20/28,,POSTUM INC,0.003437,0.002575
16109,12/21/28,,POSTUM INC,0.01053,0.006362
16109,12/22/28,,POSTUM INC,0.001034,0.00157
